id,team_id,previous_team_id,from_year,to_year,notes,created_at,updated_at
357,434,,2010,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
358,435,,2010,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
359,436,,2011,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
360,437,,2011,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
361,438,,2011,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
362,439,,2012,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
363,440,,2012,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
364,320,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
365,414,,2016,2020,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
366,442,,2014,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
368,446,,2021,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
369,447,,2021,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
372,456,,2009,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
373,457,,2009,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
374,458,,2009,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
375,170,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
376,211,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
377,213,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
378,207,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
379,167,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
380,176,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
381,208,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
382,164,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
383,219,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
384,183,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
385,144,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
386,186,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
387,216,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
388,173,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
389,195,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
390,217,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
391,218,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
392,215,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
367,445,,2021,2021,,2026-02-10 22:58:50.88428+00,2026-02-12 13:43:47.804746+00
370,448,54,2021,2021,,2026-02-10 22:58:50.88428+00,2026-02-25 15:48:31.971822+00
348,423,477,2012,2015,,2026-02-10 22:58:50.88428+00,2026-02-26 02:01:28.391099+00
355,431,456,2010,2011,,2026-02-10 22:58:50.88428+00,2026-02-27 03:17:46.517776+00
393,214,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
394,188,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
395,63,,2006,2019,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
397,73,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
398,68,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
399,221,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
400,223,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
401,60,,2006,2009,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
402,81,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
403,65,,,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
404,454,,2023,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
407,427,,2007,2011,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
409,459,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
410,460,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
411,462,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
412,463,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
413,464,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
414,465,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
415,466,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
416,467,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
417,468,,2000,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
418,469,,2001,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
419,470,,2001,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
420,471,,2001,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
421,472,,2001,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
422,473,,2001,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
423,474,,2001,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
424,475,,2002,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
425,476,,2002,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
427,478,,2002,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
428,479,,2002,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
429,480,,2003,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
430,481,,2003,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
431,482,,2004,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
432,483,,2004,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
433,484,,2005,,,2026-02-10 22:58:50.88428+00,2026-02-10 22:58:50.88428+00
